'latitude', 'longitude', 'cases'
32.3182, -86.9023, 5079.0
61.3707, -152.4044, 321.0
-14.270999999999999, -170.132, 0.0
33.7298, -111.4312, 5068.0
34.9697, -92.3731, 1973.0
36.1162, -119.6816, 33686.0
39.0598, -105.3111, 9730.0
41.5978, -72.7554, 19815.0
39.3185, -75.5071, 2745.0
38.8974, -77.0268, 2927.0
27.7663, -81.6868, 27059.0
33.0406, -83.6431, 19407.0
13.4443, 144.7937, 136.0
21.0943, -157.4983, 584.0
44.2405, -114.4788, 1672.0
40.3495, -88.9861, 31513.0
39.8494, -86.2583, 11688.0
42.0115, -93.2105, 3159.0
38.5266, -96.7265, 2048.0
37.6681, -84.6701, 3050.0
31.1695, -91.8678, 24523.0
44.6939, -69.3819, 875.0
39.0639, -76.8021, 13684.0
42.2302, -71.5301, 38077.0
43.3266, -84.5361, 32000.0
45.6945, -93.9002, 2470.0
32.7416, -89.6787, 4512.0
38.4561, -92.2884, 5890.0
46.9219, -110.4544, 433.0
41.1254, -98.2681, 1648.0
38.3135, -117.0554, 3830.0
43.4525, -71.5639, 1447.0
40.2989, -74.521, 88722.0
34.8405, -106.2485, 1971.0
42.1657, -74.9481, 253060.0
35.6301, -79.8064, 6895.0
47.5289, -99.78399999999999, 627.0
15.0979, 145.6739, 14.0
40.3888, -82.7649, 12919.0
35.5653, -96.9289, 2680.0
44.571999999999996, -122.0709, 1957.0
40.5908, -77.2098, 33914.0
18.2208, -66.5901, 1252.0
41.6809, -71.5118, 5090.0
33.8569, -80.945, 4446.0
44.2998, -99.4388, 1685.0
35.7478, -86.6923, 7238.0
31.0545, -97.5635, 19751.0
40.15, -111.8624, 3213.0
44.0459, -72.7107, 816.0
18.3358, -64.8963, 53.0
37.7693, -78.17, 8990.0
47.4009, -121.4905, 12114.0
38.4912, -80.9545, 902.0
44.2685, -89.6165, 4499.0
42.756, -107.3025, 317.0
